From country,Albania,Andorra,Armenia,Austria,Belarus,Belgium,Bosnia & Herzegovina,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Italy,Latvia,Lithuania,Luxembourg,Macedonia,Malta,Moldova,Monaco,Montenegro,Norway,Poland,Portugal,Romania,Russia,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,The Netherlands,Turkey,Ukraine,United Kingdom
Albania,0.0,1.5,1.4782608695652173,0.8823529411764706,0.6842105263157895,2.0,6.25,5.5,2.0,3.782608695652174,0.25,0.6538461538461539,0.8421052631578947,1.0476190476190477,2.05,0.2941176470588235,2.45,8.518518518518519,2.6818181818181817,1.0,1.0526315789473684,10.153846153846152,0.0454545454545454,0.6086956521739131,0.0,9.3125,2.6842105263157894,1.608695652173913,0.6666666666666666,6.142857142857143,2.16,1.2777777777777777,2.823529411764706,2.1,2.958333333333333,5.571428571428571,1.631578947368421,2.0,1.411764705882353,2.75,3.423076923076923,2.421052631578948,2.0,9.416666666666666,1.5833333333333333,1.55
Andorra,0.8571428571428571,0.0,0.4285714285714285,2.6666666666666665,0.0,1.3333333333333333,0.1,0.0,0.0,1.2,0.0,2.571428571428572,0.0,5.444444444444445,4.333333333333333,0.0,0.8333333333333334,4.25,4.25,3.4285714285714284,1.0,0.0,1.7142857142857142,2.1666666666666665,0.0,0.0,2.571428571428572,0.7142857142857143,5.666666666666667,0.3333333333333333,3.25,1.6666666666666667,9.142857142857142,3.7777777777777777,2.75,2.0,0.0,0.0,1.3333333333333333,10.0,4.0,1.5,3.1666666666666665,1.6666666666666667,6.125,1.0
Armenia,0.3,0.0,0.0,1.875,4.071428571428571,2.117647058823529,1.7272727272727273,2.2142857142857144,1.0625,6.368421052631579,3.071428571428572,0.9444444444444444,1.411764705882353,0.6666666666666666,4.294117647058823,9.4,0.6470588235294118,6.3478260869565215,0.5555555555555556,1.3,0.2857142857142857,3.083333333333333,0.3846153846153846,0.3529411764705882,0.0,2.625,5.3125,4.05,0.0,4.4,3.1578947368421053,1.0769230769230769,3.5,1.4444444444444444,9.863636363636363,1.5555555555555556,1.8571428571428568,0.0,0.4285714285714285,0.7647058823529411,4.166666666666667,3.0,3.1,1.6,6.0,0.8823529411764706
Austria,3.75,0.0,2.533333333333333,0.0,1.3888888888888888,1.9743589743589745,6.352941176470588,5.071428571428571,4.333333333333333,0.7804878048780488,4.636363636363637,2.627906976744186,2.037037037037037,1.0,3.024390243902439,0.2222222222222222,3.1463414634146343,1.3902439024390243,3.2916666666666665,1.7586206896551724,4.666666666666667,3.655172413793104,1.7142857142857142,0.1304347826086956,2.611111111111111,2.35,2.4482758620689653,1.7894736842105263,2.333333333333333,0.0,1.818181818181818,3.6875,1.2580645161290325,3.739130434782609,4.24,0.625,5.4,1.0,1.6666666666666667,1.619047619047619,4.25,4.076923076923077,3.733333333333333,2.592592592592593,1.7647058823529411,4.0
Belarus,1.1428571428571428,0.8,5.411764705882353,1.6842105263157894,0.4166666666666667,2.409090909090909,1.4,3.9,1.894736842105263,1.7826086956521738,3.0,1.3846153846153846,3.083333333333333,1.35,0.55,5.117647058823529,0.8,2.625,1.761904761904762,2.7,0.55,0.8461538461538461,2.8,4.208333333333333,0.0,0.1904761904761904,2.25,5.777777777777778,0.0,0.7142857142857143,4.416666666666667,3.5294117647058822,2.0,1.2857142857142858,9.045454545454543,2.142857142857143,2.0434782608695654,1.0,1.55,0.4,3.25,1.6111111111111112,1.5238095238095235,1.3846153846153846,8.6,0.55
Belgium,2.625,0.0,6.0,3.1951219512195124,0.1739130434782608,0.0,1.238095238095238,3.1875,0.8260869565217391,2.159090909090909,3.7142857142857135,2.590909090909091,1.7241379310344829,1.0,3.466666666666667,2.0,3.1333333333333333,3.3404255319148937,2.363636363636364,2.7222222222222223,4.1395348837209305,3.206896551724138,2.4,1.4545454545454546,2.789473684210526,0.0,2.0384615384615383,1.6521739130434785,2.0,0.0,2.891304347826087,2.583333333333333,2.619047619047619,3.125,3.185185185185185,0.25,1.3,1.0,0.7857142857142857,2.782608695652174,4.0,3.131578947368421,5.928571428571429,4.117647058823529,2.32,3.239130434782609
Bosnia & Herzegovina,4.3,0.0,2.083333333333333,3.117647058823529,0.8,1.2941176470588236,0.0,2.0,8.0,0.1,3.6666666666666665,0.7058823529411765,0.95,1.1764705882352942,2.95,0.625,1.736842105263158,2.863636363636364,1.0769230769230769,0.4285714285714285,3.0,2.0,0.3846153846153846,0.25,0.0,2.714285714285714,2.9565217391304346,0.7142857142857143,0.0,7.6,2.3157894736842106,1.5625,0.6666666666666666,1.5,2.590909090909091,3.333333333333333,11.0,2.2,6.470588235294118,1.5,3.217391304347826,0.6666666666666666,1.105263157894737,6.65,3.375,1.65
Bulgaria,1.4,0.0,6.875,5.357142857142857,2.2222222222222223,3.466666666666667,2.583333333333333,0.0,2.117647058823529,4.75,2.333333333333333,1.380952380952381,1.0,1.2142857142857142,1.1333333333333333,2.642857142857143,1.4,8.0,2.764705882352941,0.7857142857142857,0.7222222222222222,0.6666666666666666,0.0769230769230769,2.095238095238096,0.0,2.0185185185185186,1.8571428571428568,2.6666666666666665,0.0,0.0,1.3157894736842106,1.9,1.0769230769230769,2.9444444444444446,5.5,0.0,4.6,0.0,1.1666666666666667,0.6,1.65,0.7333333333333333,1.7333333333333334,7.384615384615385,4.318181818181818,1.2666666666666666
Croatia,4.95,0.5,0.631578947368421,1.5714285714285714,0.9444444444444444,0.7142857142857143,8.434782608695652,3.5294117647058822,0.0,2.636363636363636,5.333333333333333,2.0,0.9666666666666668,1.0454545454545454,1.6551724137931034,1.3333333333333333,1.25,2.4,4.666666666666667,0.6666666666666666,2.333333333333333,4.923076923076923,1.9375,1.3333333333333333,0.0,5.564814814814814,3.53125,1.45,0.0,4.25,2.212121212121212,0.7368421052631579,1.7826086956521738,1.173913043478261,4.035714285714286,0.4285714285714285,8.666666666666666,1.6,5.869565217391305,1.2413793103448276,1.7352941176470589,2.333333333333333,2.303030303030303,2.333333333333333,3.4166666666666665,2.2758620689655173
Cyprus,1.4285714285714286,0.0,5.842105263157895,1.5263157894736843,2.5,1.871794871794872,0.3181818181818182,8.0,1.8,0.0,1.7058823529411764,2.025,1.5666666666666669,1.1891891891891893,2.6153846153846154,3.8,1.4102564102564104,11.11904761904762,1.84,1.2702702702702702,2.710526315789474,5.409090909090909,1.263157894736842,1.8,2.6666666666666665,0.1041666666666666,2.571428571428572,2.636363636363636,1.3333333333333333,0.5454545454545454,2.333333333333333,0.9130434782608696,1.6388888888888888,4.136363636363637,6.5,1.25,2.5294117647058822,0.0,0.9285714285714286,3.075,3.5434782608695654,2.28125,1.351351351351351,0.375,4.458333333333333,2.125
